學年度,國中小總計,男總計,女總計,國中合計,國中男,國中女,國小合計,國小男,國小女
95,2751078,1433542,1317536,952642,496544,456098,1798436,936998,861438
96,2533105,1317475,1215630,781928,404508,377420,1751177,912967,838210
97,2629279,1369909,1259370,951976,494875,457101,1677303,875034,802269
98,2542048,1325195,1216853,948634,493211,455423,1593414,831984,761430
99,2439258,1273367,1165891,919802,478861,440941,1519456,794506,724950
100,2330224,1216829,1113395,873220,454812,418408,1457004,762017,694987
101,2218259,1159184,1059075,844884,440711,404173,1373375,718473,654902
102,2129050,1112729,1016321,831930,433967,397963,1297120,678762,618358
103,2055932,1075199,980733,803226,419410,383816,1252706,655789,596917
104,1962056,1025651,936405,747720,390472,357248,1214336,635179,579157
105,1861086,973088,887998,687204,359944,327260,1173882,613144,560738
106,1799952,940511,859441,653273,341965,311308,1146679,598546,548133
107,1782964,930183,852781,624407,326861,297546,1158557,603322,555235
108,1778581,926102,852479,607969,317232,290737,1170612,608870,561742
